City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,belem de sao francisco,-8.7539,-38.9658,85.40600000000003,48,89,2.19,BR,2024-11-12
291,isna,25.2934,32.554,71.78000000000004,25,16,3.56,EG,2024-11-12
292,mugia,43.1041,-9.2179,56.912000000000056,72,53,11.37,ES,2024-11-12
293,walvis bay,-22.9575,14.5053,65.35400000000006,72,0,5.66,,2024-11-12
294,geraldton,-28.7667,114.6,59.41400000000003,88,34,4.12,AU,2024-11-12
295,quellon,-43.1167,-73.6167,55.43600000000007,78,100,3.96,CL,2024-11-12
296,mora,11.0461,14.1401,83.82200000000003,27,4,2.29,CM,2024-11-12
297,mili,6.0815,171.735,82.43600000000006,76,99,3.42,MH,2024-11-12
298,college,64.8569,-147.8028,2.894000000000073,83,75,0.0,US,2024-11-12
299,berberati,4.2612,15.7922,75.90200000000007,64,42,1.53,CF,2024-11-12
300,kovylkino,54.0388,43.9139,29.858000000000004,83,63,3.03,RU,2024-11-12
301,mar del plata,-38.0023,-57.5575,69.94400000000007,35,75,6.69,AR,2024-11-12
302,juan griego,11.0817,-63.9655,84.542,68,100,4.7,VE,2024-11-12
303,malvan,16.0667,73.4667,79.66400000000003,64,61,3.72,IN,2024-11-12
304,miri,4.4148,114.0089,78.94400000000007,94,40,0.0,MY,2024-11-12
305,achinsk,56.2694,90.4993,14.378000000000064,86,100,6.6,RU,2024-11-12
306,miles city,46.4083,-105.8406,36.57200000000004,100,0,2.57,US,2024-11-12
307,coalinga,36.1397,-120.3602,52.05200000000008,54,2,2.78,US,2024-11-12
308,kalmunai,7.4167,81.8167,80.45600000000003,82,95,3.19,LK,2024-11-12
309,ovruch,51.3246,28.8035,32.522000000000034,88,16,1.99,UA,2024-11-12
310,adrar,20.5022,-10.0711,78.78200000000001,13,1,1.02,MR,2024-11-12
311,port douglas,-16.4833,145.4667,76.62200000000004,78,78,1.99,AU,2024-11-12
312,carolina beach,34.0352,-77.8936,72.05,60,31,0.89,US,2024-11-12
313,sidi akkacha,36.4647,1.3026,64.68800000000005,68,41,3.16,DZ,2024-11-12
314,chinde,26.8212,87.7095,65.82200000000003,76,6,2.63,NP,2024-11-12
